date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:25	202/202	---MCZ	200	added ('OK')	text/plain	etag:W/%2236e-56f7cd3438357%22	https://www.clubnatacionribarroja.com/robots.txt		(from )
23:55:26	29990/29990	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2021:55:27%20GMT	https://www.clubnatacionribarroja.com/	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/index.html	(from )
23:55:26	739476/739476	---MCZ	200	added ('OK')	text/css	etag:W/%226a336d34-b4894%22	https://www.clubnatacionribarroja.com/wp-content/litespeed/css/f1d745f86b0bd5610aced9e2fee2df78.css?ver=c19d0	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/wp-content/litespeed/css/f1d745f86b0bd5610aced9e2fee2df78e747.css	(from https://www.clubnatacionribarroja.com/)
23:55:27	1992/1992	---MC-	200	added ('OK')	application/rss+xml	etag:%229a08008d8985b9d06d7c8c8e6d0886f5%22	https://www.clubnatacionribarroja.com/feed/	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/feed/index.html	(from https://www.clubnatacionribarroja.com/)
23:55:27	888/888	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Jun%202026%2021:55:28%20GMT	https://www.clubnatacionribarroja.com/xmlrpc.php?rsd	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/xmlrpc0db0.php	(from https://www.clubnatacionribarroja.com/)
23:55:27	1126/1126	---M--	200	added ('OK')	image/jpeg	etag:%225f367302-466%22	https://www.clubnatacionribarroja.com/wp-content/uploads/2019/08/cropped-IMG_20190817_123129_311-32x32.jpg	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/wp-content/uploads/2019/08/cropped-IMG_20190817_123129_311-32x32.jpg	(from https://www.clubnatacionribarroja.com/)
23:55:27	7797/7797	---M--	200	added ('OK')	image/jpeg	etag:%225f367302-1e75%22	https://www.clubnatacionribarroja.com/wp-content/uploads/2019/08/cropped-IMG_20190817_123129_311-192x192.jpg	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/wp-content/uploads/2019/08/cropped-IMG_20190817_123129_311-192x192.jpg	(from https://www.clubnatacionribarroja.com/)
23:55:27	209833/209833	---MC-	200	added ('OK')	application/json	date:Mon,%2022%20Jun%202026%2021:55:29%20GMT	https://www.clubnatacionribarroja.com/wp-json/	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/wp-json/index.html	(from https://www.clubnatacionribarroja.com/)
23:55:27	7321/7321	---M--	200	added ('OK')	image/jpeg	etag:%225f367302-1c99%22	https://www.clubnatacionribarroja.com/wp-content/uploads/2019/08/cropped-IMG_20190817_123129_311-180x180.jpg	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/wp-content/uploads/2019/08/cropped-IMG_20190817_123129_311-180x180.jpg	(from https://www.clubnatacionribarroja.com/)
23:55:29	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Jun%202026%2021:55:29%20GMT	http://www.clubnatacionribarroja.com/wp-content/uploads/2019/08/nadadores.jpg	C:/Users/asoriano/wp-cloner/ClubNatacionRibarroja/ClubNatacionRibarroja/www.clubnatacionribarroja.com/wp-content/uploads/2019/08/nadadores.5.delayed	(from https://www.clubnatacionribarroja.com/)
